fold,train_period,val_period,train_size,val_size,auc,f1,precision,recall
1,2021-06-01 → 2022-12-31,2023-01-01 → 2023-06-30,11970,3600,0.8990476190476191,0.08372093023255814,0.04864864864864865,0.3
2,2021-06-01 → 2023-06-30,2023-07-01 → 2023-12-31,15570,3870,0.8536728124085455,0.17543859649122806,0.10683760683760683,0.49019607843137253
3,2021-06-01 → 2023-12-31,2024-01-01 → 2024-06-30,19440,3606,0.9170884025723678,0.23846153846153847,0.1497584541062802,0.5849056603773585
4,2021-06-01 → 2024-06-30,2024-07-01 → 2024-12-31,23046,3870,0.9431889494503636,0.2026431718061674,0.12105263157894737,0.6216216216216216
